"","datayear","region","districttype","district","free","sped","lep","enrll"
"1069","07-08","Central","Independent","FOLEY PUBLIC SCHOOL DISTRICT",484,232,2,1651
"1070","07-08","Central","Independent","HOLDINGFORD PUBLIC SCHOOL DISTRICT",233,100,3,1027
"1071","07-08","Central","Independent","HOWARD LAKE-WAVERLY-WINSTED",187,114,13,993
"1072","07-08","Central","Independent","KIMBALL PUBLIC SCHOOL DISTRICT",177,88,0,756
"1073","07-08","Central","Independent","MAPLE LAKE PUBLIC SCHOOL DISTRICT",160,140,1,998
"1074","07-08","Central","Independent","MELROSE PUBLIC SCHOOL DISTRICT",455,165,174,1377
"1075","07-08","Central","Independent","MONTICELLO PUBLIC SCHOOL DISTRICT",823,562,66,3896
"1076","07-08","Central","Independent","PAYNESVILLE PUBLIC SCHOOL DISTRICT",344,159,10,1055
"1077","07-08","Central","Independent","ROCKFORD PUBLIC SCHOOL DISTRICT",349,199,35,1571
"1078","07-08","Central","Independent","ROCORI PUBLIC SCHOOL DISTRICT",464,239,2,2206
"1079","07-08","Central","Independent","SARTELL-ST. STEPHEN SCHOOL DISTRICT",405,366,26,3190
"1080","07-08","Central","Independent","SAUK CENTRE PUBLIC SCHOOL DISTRICT",372,156,16,1066
"1081","07-08","Central","Independent","SAUK RAPIDS PUBLIC SCHOOL DISTRICT",869,594,17,3713
"1082","07-08","Central","Independent","ST. CLOUD PUBLIC SCHOOL DISTRICT",3822,1641,947,9378
"1083","07-08","Central","Independent","ST. MICHAEL-ALBERTVILLE SCHOOL DIST",483,419,151,4624
"1084","07-08","Central","Sped Coops","MEEKER & WRIGHT SPECIAL EDUCATION",99,91,0,120
"1085","07-08","Central","Voc Coops","WRIGHT TECHNICAL CENTER",0,0,0,158
"1086","07-08","East Central","Charter","TRIO WOLF CREEK DISTANCE LEARNING",9,10,0,121
"1087","07-08","East Central","Independent","BRAHAM PUBLIC SCHOOL DISTRICT",378,82,11,946
"1088","07-08","East Central","Independent","CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST",1361,496,71,5051
"1089","07-08","East Central","Independent","CHISAGO LAKES SCHOOL DISTRICT",586,319,31,3526
"1090","07-08","East Central","Independent","EAST CENTRAL SCHOOL DISTRICT",409,120,0,775
"1091","07-08","East Central","Independent","HINCKLEY-FINLAYSON SCHOOL DISTRICT",494,106,15,1006
"1092","07-08","East Central","Independent","ISLE PUBLIC SCHOOL DISTRICT",232,71,0,572
"1093","07-08","East Central","Independent","MILACA PUBLIC SCHOOL DISTRICT",572,250,10,1934
"1094","07-08","East Central","Independent","MORA PUBLIC SCHOOL DISTRICT",742,198,0,1903
"1095","07-08","East Central","Independent","NORTH BRANCH PUBLIC SCHOOLS",896,418,63,3804
"1096","07-08","East Central","Independent","OGILVIE PUBLIC SCHOOL DISTRICT",288,101,0,619
"1097","07-08","East Central","Independent","ONAMIA PUBLIC SCHOOL DISTRICT",499,172,0,757
"1098","07-08","East Central","Independent","PINE CITY PUBLIC SCHOOL DISTRICT",534,141,1,1618
"1099","07-08","East Central","Independent","PRINCETON PUBLIC SCHOOL DISTRICT",820,403,18,3466
"1100","07-08","East Central","Independent","RUSH CITY PUBLIC SCHOOL DISTRICT",245,68,3,929
"1101","07-08","East Central","Independent","WILLOW RIVER PUBLIC SCHOOL DISTRICT",236,57,0,458
"1102","07-08","East Central","Voc Coops","OAK LAND VOCATIONAL CENTER",27,33,0,274
"1103","07-08","Headwater","Charter","NAYTAHWAUSH COMMUNITY SCHOOL",0,16,0,76
"1104","07-08","Headwater","Charter","SCHOOLCRAFT LEARNING COMMUNITY CHTR",75,26,0,154
"1105","07-08","Headwater","Charter","TREKNORTH HIGH SCHOOL",45,18,0,159
"1106","07-08","Headwater","Charter","VOYAGEURS EXPEDITIONARY",55,22,0,71
"1107","07-08","Headwater","Independent","BAGLEY PUBLIC SCHOOL DISTRICT",515,163,0,1024
"1108","07-08","Headwater","Independent","BEMIDJI PUBLIC SCHOOL DISTRICT",2286,703,10,4763
"1109","07-08","Headwater","Independent","BLACKDUCK PUBLIC SCHOOL DISTRICT",338,120,5,653
"1110","07-08","Headwater","Independent","CLEARBROOK-GONVICK SCHOOL DISTRICT",240,59,2,463
"1111","07-08","Headwater","Independent","KELLIHER PUBLIC SCHOOL DISTRICT",184,36,0,231
"1112","07-08","Headwater","Independent","LAKE OF THE WOODS SCHOOL DISTRICT",203,64,0,539
"1113","07-08","Headwater","Independent","LAPORTE PUBLIC SCHOOL DISTRICT",161,64,0,265
"1114","07-08","Headwater","Independent","MAHNOMEN PUBLIC SCHOOL DISTRICT",464,128,0,703
"1115","07-08","Headwater","Independent","NEVIS PUBLIC SCHOOL DISTRICT",255,103,0,531
"1116","07-08","Headwater","Independent","PARK RAPIDS PUBLIC SCHOOL DISTRICT",712,330,4,1569
"1117","07-08","Headwater","Independent","RED LAKE PUBLIC SCHOOL DISTRICT",1050,182,145,1373
"1118","07-08","Headwater","Independent","WAUBUN PUBLIC SCHOOL DISTRICT",393,88,0,624
"1119","07-08","Headwater","Sped Coops","BEMIDJI REGIONAL INTERDIST. COUNCIL",0,0,0,0
"1120","07-08","Mid-Minnesota","Charter","NEW CENTURY CHARTER SCHOOL",48,21,0,149
"1121","07-08","Mid-Minnesota","Charter","NEW DISCOVERIES MONTESSORI ACADEMY",37,16,0,110
"1122","07-08","Mid-Minnesota","Independent","A.C.G.C.",338,122,3,804
"1123","07-08","Mid-Minnesota","Independent","BIRD ISLAND-OLIVIA-LAKE LILLIAN",295,98,63,844
"1124","07-08","Mid-Minnesota","Independent","BUFFALO LAKE-HECTOR SCHOOL DISTRICT",211,95,73,596
"1125","07-08","Mid-Minnesota","Independent","EDEN VALLEY-WATKINS SCHOOL DISTRICT",338,90,3,854
"1126","07-08","Mid-Minnesota","Independent","GLENCOE-SILVER LAKE SCHOOL DISTRICT",536,183,95,1611
"1127","07-08","Mid-Minnesota","Independent","HUTCHINSON PUBLIC SCHOOL DISTRICT",785,325,79,2962
"1128","07-08","Mid-Minnesota","Independent","LESTER PRAIRIE PUBLIC SCHOOL DIST.",120,42,18,447
"1129","07-08","Mid-Minnesota","Independent","LITCHFIELD PUBLIC SCHOOL DISTRICT",532,216,32,1767
"1130","07-08","Mid-Minnesota","Independent","MCLEOD WEST PUBLIC SCHOOL DISTRICT",88,36,8,322
"1131","07-08","Mid-Minnesota","Independent","NEW LONDON-SPICER SCHOOL DISTRICT",364,192,11,1570
"1132","07-08","Mid-Minnesota","Independent","RENVILLE COUNTY WEST SCHOOL DIST.",234,80,80,586
"1133","07-08","Mid-Minnesota","Independent","WILLMAR PUBLIC SCHOOL DISTRICT",1948,470,567,4141
"1134","07-08","North Central","Charter","CROSSLAKE COMMUNITY CHARTER SCHOOL",51,18,0,106
"1135","07-08","North Central","Charter","EMILY CHARTER SCHOOL",22,9,0,40
"1136","07-08","North Central","Charter","PILLAGER AREA CHARTER SCHOOL",33,19,0,45
"1137","07-08","North Central","Ed Districts","FRESHWATER ED. DIST.",88,48,0,129
"1138","07-08","North Central","Ed Districts","MID STATE EDUCATION DISTRICT",20,28,0,29
"1139","07-08","North Central","Independent","BERTHA-HEWITT PUBLIC SCHOOL DIST.",303,96,0,467
"1140","07-08","North Central","Independent","BRAINERD PUBLIC SCHOOL DISTRICT",2625,1050,0,6992
"1141","07-08","North Central","Independent","BROWERVILLE PUBLIC SCHOOL DISTRICT",245,70,0,495
"1142","07-08","North Central","Independent","CASS LAKE-BENA PUBLIC SCHOOLS",877,240,0,1053
"1143","07-08","North Central","Independent","CROSBY-IRONTON PUBLIC SCHOOL DIST.",519,226,4,1223
"1144","07-08","North Central","Independent","EAGLE VALLEY PUBLIC SCHOOL DISTRICT",171,41,0,325
"1145","07-08","North Central","Independent","LITTLE FALLS PUBLIC SCHOOL DISTRICT",983,297,23,2507
"1146","07-08","North Central","Independent","LONG PRAIRIE-GREY EAGLE SCHOOL DIST",618,145,210,1202
"1147","07-08","North Central","Independent","MENAHGA PUBLIC SCHOOL DISTRICT",353,106,0,740
"1148","07-08","North Central","Independent","NORTHLAND COMMUNITY SCHOOLS",284,127,0,477
"1149","07-08","North Central","Independent","PEQUOT LAKES PUBLIC SCHOOLS",428,229,0,1589
"1150","07-08","North Central","Independent","PIERZ PUBLIC SCHOOL DISTRICT",415,117,5,1043
"1151","07-08","North Central","Independent","PILLAGER PUBLIC SCHOOL DISTRICT",369,133,0,744
"1152","07-08","North Central","Independent","PINE RIVER-BACKUS SCHOOL DISTRICT",520,184,4,965
"1153","07-08","North Central","Independent","ROYALTON PUBLIC SCHOOL DISTRICT",225,126,0,696
"1154","07-08","North Central","Independent","SEBEKA PUBLIC SCHOOL DISTRICT",289,64,2,523
"1155","07-08","North Central","Independent","STAPLES-MOTLEY SCHOOL DISTRICT",783,208,0,1382
"1156","07-08","North Central","Independent","SWANVILLE PUBLIC SCHOOL DISTRICT",158,45,0,351
"1157","07-08","North Central","Independent","UPSALA PUBLIC SCHOOL DISTRICT",117,43,0,399
"1158","07-08","North Central","Independent","VERNDALE PUBLIC SCHOOL DISTRICT",222,59,0,430
"1159","07-08","North Central","Independent","WADENA-DEER CREEK SCHOOL DISTRICT",603,148,0,1101
"1160","07-08","North Central","Independent","WALKER-HACKENSACK-AKELEY SCHL. DIST",352,149,2,878
"1161","07-08","Northwest","Independent","ADA-BORUP PUBLIC SCHOOL DISTRICT",223,64,14,549
"1162","07-08","Northwest","Independent","BADGER PUBLIC SCHOOL DISTRICT",115,29,0,223
"1163","07-08","Northwest","Independent","CLIMAX PUBLIC SCHOOL DISTRICT",84,27,0,139
"1164","07-08","Northwest","Independent","CROOKSTON PUBLIC SCHOOL DISTRICT",494,232,86,1366
"1165","07-08","Northwest","Independent","EAST GRAND FORKS PUBLIC SCHOOL DIST",510,238,21,1723
"1166","07-08","Northwest","Independent","FERTILE-BELTRAMI SCHOOL DISTRICT",184,75,0,477
"1167","07-08","Northwest","Independent","FISHER PUBLIC SCHOOL DISTRICT",74,44,0,277
"1168","07-08","Northwest","Independent","FOSSTON PUBLIC SCHOOL DISTRICT",305,86,0,649
"1169","07-08","Northwest","Independent","GOODRIDGE PUBLIC SCHOOL DISTRICT",120,22,0,194
"1170","07-08","Northwest","Independent","GREENBUSH-MIDDLE RIVER SCHOOL DIST.",197,71,0,476
"1171","07-08","Northwest","Independent","GRYGLA PUBLIC SCHOOL DISTRICT",107,35,0,204
"1172","07-08","Northwest","Independent","KITTSON CENTRAL SCHOOL DISTRICT",84,48,0,319
"1173","07-08","Northwest","Independent","LANCASTER PUBLIC SCHOOL DISTRICT",100,37,0,191
"1174","07-08","Northwest","Independent","MARSHALL COUNTY CENTRAL SCHOOLS",182,61,0,367
"1175","07-08","Northwest","Independent","NORMAN COUNTY EAST SCHOOL DISTRICT",184,56,1,340
"1176","07-08","Northwest","Independent","NORMAN COUNTY WEST SCHOOL DISTRICT",123,55,10,285
"1177","07-08","Northwest","Independent","OKLEE PUBLIC SCHOOL DISTRICT",97,22,0,148
"1178","07-08","Northwest","Independent","PLUMMER PUBLIC SCHOOL DISTRICT",106,34,0,184
"1179","07-08","Northwest","Independent","RED LAKE FALLS PUBLIC SCHOOL DIST.",161,49,0,370
"1180","07-08","Northwest","Independent","ROSEAU PUBLIC SCHOOL DISTRICT",340,186,0,1303
"1181","07-08","Northwest","Independent","STEPHEN-ARGYLE CENTRAL SCHOOLS",126,31,0,361
"1182","07-08","Northwest","Independent","THIEF RIVER FALLS SCHOOL DISTRICT",624,298,26,1947
"1183","07-08","Northwest","Independent","TRI-COUNTY SCHOOL DISTRICT",113,45,0,238
"1184","07-08","Northwest","Independent","WARREN-ALVARADO-OSLO SCHOOL DIST.",186,74,50,462
"1185","07-08","Northwest","Independent","WARROAD PUBLIC SCHOOL DISTRICT",389,146,25,1188
"1186","07-08","Northwest","Independent","WIN-E-MAC SCHOOL DISTRICT",240,61,1,500
"1187","07-08","South Central","Charter","EDVISIONS OFF CAMPUS SCHOOL",20,13,0,82
"1188","07-08","South Central","Charter","GREEN ISLE COMMUNITY SCHOOL",37,16,4,84
"1189","07-08","South Central","Charter","LAFAYETTE PUBLIC CHARTER SCHOOL",39,7,0,78
"1190","07-08","South Central","Charter","MINNESOTA NEW COUNTRY SCHOOL",36,46,0,123
"1191","07-08","South Central","Charter","RIVERBEND ACADEMY",44,30,0,87
"1192","07-08","South Central","Charter","TEAM ACADEMY",49,17,0,136
"1193","07-08","South Central","Ed Districts","MN VALLEY EDUCATION DISTRICT",20,36,0,36
"1194","07-08","South Central","Ed Districts","RIVER BEND EDUCATION DISTRICT",57,22,0,104
"1195","07-08","South Central","Independent","BLUE EARTH AREA PUBLIC SCHOOL",503,183,35,1232
"1196","07-08","South Central","Independent","BUTTERFIELD PUBLIC SCHOOL DISTRICT",119,39,33,218
"1197","07-08","South Central","Independent","CLEVELAND PUBLIC SCHOOL DISTRICT",106,34,0,417
"1198","07-08","South Central","Independent","COMFREY PUBLIC SCHOOL DISTRICT",74,23,0,162
"1199","07-08","South Central","Independent","FAIRMONT AREA SCHOOL DISTRICT",676,243,81,1727
"1200","07-08","South Central","Independent","G.F.W.",255,75,30,767
"1201","07-08","South Central","Independent","GRANADA HUNTLEY-EAST CHAIN #2536",108,32,0,267
"1202","07-08","South Central","Independent","JANESVILLE-WALDORF-PEMBERTON",121,77,2,526
"1203","07-08","South Central","Independent","LAKE CRYSTAL-WELLCOME MEMORIAL",240,130,0,765
"1204","07-08","South Central","Independent","LECENTER PUBLIC SCHOOL DISTRICT",232,85,75,662
"1205","07-08","South Central","Independent","LESUEUR-HENDERSON SCHOOL DISTRICT",345,209,115,1225
"1206","07-08","South Central","Independent","MADELIA PUBLIC SCHOOL DISTRICT",231,74,77,553
"1207","07-08","South Central","Independent","MANKATO PUBLIC SCHOOL DISTRICT",2285,1049,321,7050
"1208","07-08","South Central","Independent","MAPLE RIVER SCHOOL DISTRICT",378,187,11,1163
"1209","07-08","South Central","Independent","MARTIN COUNTY WEST SCHOOL DISTRICT",258,114,0,807
"1210","07-08","South Central","Independent","MONTGOMERY-LONSDALE SCHOOL DISTRICT",267,135,50,1096
"1211","07-08","South Central","Independent","N.R.H.E.G. SCHOOL DISTRICT",273,151,0,985
"1212","07-08","South Central","Independent","NEW ULM PUBLIC SCHOOL DISTRICT",380,261,19,2017
"1213","07-08","South Central","Independent","NICOLLET PUBLIC SCHOOL DISTRICT",85,32,0,304
"1214","07-08","South Central","Independent","SIBLEY EAST SCHOOL DISTRICT",456,133,181,1204
"1215","07-08","South Central","Independent","SLEEPY EYE PUBLIC SCHOOL DISTRICT",350,70,140,661
"1216","07-08","South Central","Independent","SPRINGFIELD PUBLIC SCHOOL DISTRICT",159,47,5,580
"1217","07-08","South Central","Independent","ST. CLAIR PUBLIC SCHOOL DISTRICT",112,63,0,614
"1218","07-08","South Central","Independent","ST. JAMES PUBLIC SCHOOL DISTRICT",561,145,211,1160
"1219","07-08","South Central","Independent","ST. PETER PUBLIC SCHOOL DISTRICT",557,299,76,1817
"1220","07-08","South Central","Independent","TRUMAN PUBLIC SCHOOL DISTRICT",147,63,11,341
"1221","07-08","South Central","Independent","UNITED SOUTH CENTRAL SCHOOL DIST.",366,119,14,806
"1222","07-08","South Central","Independent","WASECA PUBLIC SCHOOL DISTRICT",529,255,100,1837
"1223","07-08","South Central","Independent","WATERVILLE-ELYSIAN-MORRISTOWN",302,180,32,951
"1224","07-08","South Central","Sped Coops","SOUTHERN PLAINS EDUCATION COOP.",41,36,0,81
"1225","07-08","Southeast","Charter","ADAM ABDULLE ACADEMY",132,1,103,141
"1226","07-08","Southeast","Charter","ARTECH",29,26,0,120
"1227","07-08","Southeast","Charter","BLUFFVIEW MONTESSORI",45,18,0,206
"1228","07-08","Southeast","Charter","DAKOTA AREA COMMUNITY CHARTER SCH",9,6,0,49
"1229","07-08","Southeast","Charter","DISCOVERY PUBLIC SCHOOL FARIBAULT",26,15,4,47
"1230","07-08","Southeast","Charter","LACRESCENT MONTESSORI ACADEMY",13,0,0,53
"1231","07-08","Southeast","Charter","NERSTRAND CHARTER SCHOOL",23,9,2,156
"1232","07-08","Southeast","Charter","RECOVERY SCHOOL OF SOUTHERN MN",22,6,0,28
"1233","07-08","Southeast","Charter","RIDGEWAY COMMUNITY SCHOOL",20,6,0,68
"1234","07-08","Southeast","Charter","RIVERWAY LEARNING COMMUNITY CHTR",56,17,0,87
"1235","07-08","Southeast","Charter","ROCHESTER OFF-CAMPUS CHARTER HIGH",68,37,0,117
"1236","07-08","Southeast","Charter","STUDIO ACADEMY CHARTER SCHOOL",0,17,0,118
"1237","07-08","Southeast","Ed Districts","GOODHUE COUNTY EDUCATION  DIST.",30,63,0,63
"1238","07-08","Southeast","Ed Districts","HIAWATHA VALLEY ED. DISTRICT",42,39,0,107
"1239","07-08","Southeast","Ed Districts","ZUMBRO EDUCATION DISTRICT",46,32,0,92
"1240","07-08","Southeast","Independent","ALBERT LEA PUBLIC SCHOOL DISTRICT",1349,593,180,3304
"1241","07-08","Southeast","Independent","ALDEN-CONGER PUBLIC SCHOOL DISTRICT",124,84,0,437
"1242","07-08","Southeast","Independent","AUSTIN PUBLIC SCHOOL DISTRICT",2002,534,397,4223
"1243","07-08","Southeast","Independent","BLOOMING PRAIRIE PUBLIC SCHOOL DIST",178,76,22,700
"1244","07-08","Southeast","Independent","BYRON PUBLIC SCHOOL DISTRICT",179,147,0,1632
"1245","07-08","Southeast","Independent","CALEDONIA PUBLIC SCHOOL DISTRICT",225,108,1,797
"1246","07-08","Southeast","Independent","CANNON FALLS PUBLIC SCHOOL DISTRICT",218,124,4,1273
"1247","07-08","Southeast","Independent","CHATFIELD PUBLIC SCHOOLS",178,91,3,884
"1248","07-08","Southeast","Independent","DOVER-EYOTA PUBLIC SCHOOL DISTRICT",150,89,0,1132
"1249","07-08","Southeast","Independent","FARIBAULT PUBLIC SCHOOL DISTRICT",1624,531,551,4017
"1250","07-08","Southeast","Independent","FILLMORE CENTRAL",156,71,0,594
"1251","07-08","Southeast","Independent","GLENVILLE-EMMONS SCHOOL DISTRICT",110,49,0,335
"1252","07-08","Southeast","Independent","GOODHUE PUBLIC SCHOOL DISTRICT",129,47,28,626
"1253","07-08","Southeast","Independent","GRAND MEADOW PUBLIC SCHOOL DISTRICT",98,68,1,375
"1254","07-08","Southeast","Independent","HAYFIELD PUBLIC SCHOOL DISTRICT",199,65,14,826
"1255","07-08","Southeast","Independent","HOUSTON PUBLIC SCHOOL DISTRICT",239,89,0,1279
"1256","07-08","Southeast","Independent","KASSON-MANTORVILLE SCHOOL DIST.",246,128,25,2047
"1257","07-08","Southeast","Independent","KENYON-WANAMINGO SCHOOL DISTRICT",212,78,28,876
"1258","07-08","Southeast","Independent","KINGSLAND PUBLIC SCHOOL DISTRICT",188,89,0,743
"1259","07-08","Southeast","Independent","LACRESCENT-HOKAH SCHOOL DISTRICT",252,144,0,1391
"1260","07-08","Southeast","Independent","LAKE CITY PUBLIC SCHOOL DISTRICT",273,157,22,1280
"1261","07-08","Southeast","Independent","LANESBORO PUBLIC SCHOOL DISTRICT",127,33,0,356
"1262","07-08","Southeast","Independent","LEROY PUBLIC SCHOOL DISTRICT",111,35,1,299
"1263","07-08","Southeast","Independent","LEWISTON-ALTURA PUBLIC SCHOOL DIST.",285,96,8,744
"1264","07-08","Southeast","Independent","LYLE PUBLIC SCHOOL DISTRICT",140,50,0,254
"1265","07-08","Southeast","Independent","MABEL-CANTON PUBLIC SCHOOL DIST.",88,26,0,343
"1266","07-08","Southeast","Independent","MEDFORD PUBLIC SCHOOL DISTRICT",168,71,17,751
"1267","07-08","Southeast","Independent","NORTHFIELD PUBLIC SCHOOL DISTRICT",666,467,269,3903
"1268","07-08","Southeast","Independent","OWATONNA PUBLIC SCHOOL DISTRICT",1468,549,382,4934
"1269","07-08","Southeast","Independent","PINE ISLAND PUBLIC SCHOOL DIST.",225,90,0,1235
"1270","07-08","Southeast","Independent","PLAINVIEW-ELGIN-MILLVILLE",276,154,38,1555
"1271","07-08","Southeast","Independent","RED WING PUBLIC SCHOOL DISTRICT",689,351,74,2845
"1272","07-08","Southeast","Independent","ROCHESTER PUBLIC SCHOOL DISTRICT",4635,1707,2218,15972
"1273","07-08","Southeast","Independent","RUSHFORD-PETERSON PUBLIC SCHLS.",331,77,0,636
"1274","07-08","Southeast","Independent","SOUTHLAND PUBLIC SCHOOL DISTRICT",153,83,8,585
"1275","07-08","Southeast","Independent","SPRING GROVE SCHOOL DISTRICT",116,28,0,344
"1276","07-08","Southeast","Independent","ST. CHARLES PUBLIC SCHOOL DISTRICT",274,90,35,1023
"1277","07-08","Southeast","Independent","STEWARTVILLE PUBLIC SCHOOL DISTRICT",354,158,0,1751
"1278","07-08","Southeast","Independent","TRITON SCHOOL DISTRICT",381,127,122,1117
"1279","07-08","Southeast","Independent","WABASHA-KELLOGG PUBLIC SCHOOL DIST.",192,60,0,614
"1280","07-08","Southeast","Independent","WINONA AREA PUBLIC SCHOOL DISTRICT",1232,529,104,3566
"1281","07-08","Southeast","Independent","ZUMBROTA-MAZEPPA SCHOOL DISTRICT",206,107,5,1090
"1282","07-08","Southeast","State Operated","MINNESOTA STATE ACADEMIES",147,178,0,182
"1283","07-08","Southwest","Charter","ECI' NOMPA WOONSPE",7,10,0,31
"1284","07-08","Southwest","Charter","MILROY AREA CHARTER SCHOOL",23,9,1,51
"1285","07-08","Southwest","Charter","WORTHINGTON AREA LANGUAGE ACADEMY",92,10,47,103
"1286","07-08","Southwest","Charter","YANKTON COUNTRY CHARTER SCHOOL",10,7,0,24
"1287","07-08","Southwest","Independent","ADRIAN PUBLIC SCHOOL DISTRICT",217,74,4,630
"1288","07-08","Southwest","Independent","BALATON PUBLIC SCHOOL DISTRICT",22,5,2,57
"1289","07-08","Southwest","Independent","BREWSTER PUBLIC SCHOOL DISTRICT",65,30,2,148
"1290","07-08","Southwest","Independent","CEDAR MOUNTAIN SCHOOL DISTRICT",165,77,3,408
"1291","07-08","Southwest","Independent","EDGERTON PUBLIC SCHOOL DISTRICT",102,54,5,297
"1292","07-08","Southwest","Independent","ELLSWORTH PUBLIC SCHOOL DISTRICT",91,40,0,192
"1293","07-08","Southwest","Independent","FULDA PUBLIC SCHOOL DISTRICT",137,82,0,403
"1294","07-08","Southwest","Independent","HENDRICKS PUBLIC SCHOOL DISTRICT",79,22,1,170
"1295","07-08","Southwest","Independent","HERON LAKE-OKABENA SCHOOL DISTRICT",113,41,40,360
"1296","07-08","Southwest","Independent","HILLS-BEAVER CREEK SCHOOL DISTRICT",103,36,0,327
"1297","07-08","Southwest","Independent","IVANHOE PUBLIC SCHOOL DISTRICT",63,17,1,164
"1298","07-08","Southwest","Independent","JACKSON COUNTY CENTRAL SCHOOL DIST.",382,167,15,1165
"1299","07-08","Southwest","Independent","LAKE BENTON PUBLIC SCHOOL DISTRICT",63,24,0,161
"1300","07-08","Southwest","Independent","LAKEVIEW SCHOOL DISTRICT",171,63,11,586
"1301","07-08","Southwest","Independent","LUVERNE PUBLIC SCHOOL DISTRICT",373,174,28,1205
"1302","07-08","Southwest","Independent","LYND PUBLIC SCHOOL DISTRICT",79,15,38,113
"1303","07-08","Southwest","Independent","MARSHALL PUBLIC SCHOOL DISTRICT",705,233,214,2224
"1304","07-08","Southwest","Independent","MILROY PUBLIC SCHOOL DISTRICT",15,8,2,34
"1305","07-08","Southwest","Independent","MINNEOTA PUBLIC SCHOOL DISTRICT",161,56,26,462
"1306","07-08","Southwest","Independent","MOUNTAIN LAKE PUBLIC SCHOOLS",223,81,68,482
"1307","07-08","Southwest","Independent","MURRAY COUNTY CENTRAL SCHOOL DIST.",211,88,29,733
"1308","07-08","Southwest","Independent","PIPESTONE AREA SCHOOL DISTRICT",446,139,45,1136
"1309","07-08","Southwest","Independent","RED ROCK CENTRAL SCHOOL DISTRICT",240,53,0,496
"1310","07-08","Southwest","Independent","REDWOOD AREA SCHOOL DISTRICT",454,148,19,1250
"1311","07-08","Southwest","Independent","ROUND LAKE PUBLIC SCHOOL DISTRICT",41,24,6,136
"1312","07-08","Southwest","Independent","RTR PUBLIC SCHOOLS",178,63,3,555
"1313","07-08","Southwest","Independent","TRACY PUBLIC SCHOOL DISTRICT",326,81,136,738
"1314","07-08","Southwest","Independent","WABASSO PUBLIC SCHOOL DISTRICT",113,33,0,387
"1315","07-08","Southwest","Independent","WESTBROOK-WALNUT GROVE SCHOOLS",281,58,99,546
"1316","07-08","Southwest","Independent","WINDOM PUBLIC SCHOOL DISTRICT",305,172,46,925
"1317","07-08","Southwest","Independent","WORTHINGTON PUBLIC SCHOOL DISTRICT",1173,338,239,2219
"1318","07-08","Southwest","Service Coop","REGN 6 & 8-S.W/W.C. SRV COOPERATIVE",46,62,1,99
"1319","07-08","Twin Cities","Charter","ACADEMIA CESAR CHAVEZ CHARTER SCH.",251,27,115,286
"1320","07-08","Twin Cities","Charter","ACADEMY OF BIOSCIENCES",57,18,10,115
"1321","07-08","Twin Cities","Charter","ACHIEVE LANGUAGE ACADEMY",331,48,253,405
"1322","07-08","Twin Cities","Charter","AGRICULTURAL FOOD SCIENCE ACADEMY",45,31,0,205
"1323","07-08","Twin Cities","Charter","ASCENSION ACADEMY CHARTER SCHOOL",70,12,4,93
"1324","07-08","Twin Cities","Charter","AUGSBURG ACADEMY FOR HEALTH CAREERS",61,8,0,84
"1325","07-08","Twin Cities","Charter","AURORA CHARTER SCHOOL",274,6,226,290
"1326","07-08","Twin Cities","Charter","AVALON SCHOOL",42,34,0,191
"1327","07-08","Twin Cities","Charter","BEACON ACADEMY",35,20,1,258
"1328","07-08","Twin Cities","Charter","BEACON PREPARATORY SCHOOL",10,13,1,72
"1329","07-08","Twin Cities","Charter","BLUESKY CHARTER SCHOOL",129,97,0,591
"1330","07-08","Twin Cities","Charter","CEDAR RIVERSIDE COMMUNITY SCHOOL",110,7,56,111
"1331","07-08","Twin Cities","Charter","CITY ACADEMY",96,0,0,119
"1332","07-08","Twin Cities","Charter","COMMUNITY OF PEACE ACADEMY",517,87,295,632
"1333","07-08","Twin Cities","Charter","COMMUNITY SCHOOL OF EXCELLENCE",148,7,168,176
"1334","07-08","Twin Cities","Charter","CONCORDIA CREATIVE LEARNING ACADEMY",202,36,41,228
"1335","07-08","Twin Cities","Charter","CYBER VILLAGE ACADEMY",26,16,1,115
"1336","07-08","Twin Cities","Charter","CYGNUS ACADEMY",23,9,0,99
"1337","07-08","Twin Cities","Charter","DUGSI ACADEMY",192,4,156,201
"1338","07-08","Twin Cities","Charter","DUNWOODY ACADEMY",121,12,0,164
"1339","07-08","Twin Cities","Charter","EAGLE RIDGE ACADEMY CHARTER SCHOOL",1,15,0,291
"1340","07-08","Twin Cities","Charter","EL COLEGIO CHARTER SCHOOL",86,18,28,100
"1341","07-08","Twin Cities","Charter","ELOM INTERNATIONAL SCHOOL",77,0,0,122
"1342","07-08","Twin Cities","Charter","EMILY O. GOODRIDGE-GREY ACCELERATED",152,5,0,159
"1343","07-08","Twin Cities","Charter","EXCELL ACADEMY CHARTER",257,24,7,320
"1344","07-08","Twin Cities","Charter","FACE TO FACE ACADEMY",52,15,0,65
"1345","07-08","Twin Cities","Charter","FOUR DIRECTIONS CHARTER SCHOOLS",99,20,0,99
"1346","07-08","Twin Cities","Charter","FRASER ACADEMY",12,58,0,72
"1347","07-08","Twin Cities","Charter","FRIENDSHIP ACDMY OF FINE ARTS CHTR.",107,11,0,114
"1348","07-08","Twin Cities","Charter","GENERAL JOHN VESSEY JR LEADERSHIP",67,25,0,116
"1349","07-08","Twin Cities","Charter","GREAT RIVER SCHOOL",23,34,0,212
"1350","07-08","Twin Cities","Charter","HARVEST PREP SCHOOL/SEED ACADEMY",432,36,0,502
